time,voltage,speed,distance_traveled
1743798315475,0.0,0.0,0.0
1743798315583,0.0,0.0,0.0
1743798315692,0.0,0.0,0.0
1743798315848,0.0,0.0,0.0
1743798315958,0.0,0.0,0.0
1743798316114,0.0,0.0,0.0
1743798316223,0.0,0.0,0.0
1743798316379,0.0,0.0,0.0
1743798316477,0.0,0.0,0.0
1743798316588,0.0,0.0,0.0
1743798316697,0.0,0.0,0.0
1743798316806,0.0,0.0,0.0
1743798316963,0.0,0.0,0.0
1743798317071,0.0,0.0,0.0
1743798317181,0.0,0.0,0.0
1743798317336,0.0,0.0,0.0
1743798317445,0.0,0.0,0.0
1743798317554,0.0,0.0,0.0
1743798317712,0.0,0.0,0.0
1743798317867,0.0,0.0,0.0
1743798317975,0.0,0.0,0.0
1743798318085,0.0,0.0,0.0
1743798318242,0.0,0.0,0.0
1743798318400,0.0,0.0,0.0
1743798318509,0.0,0.0,0.0
1743798318666,0.0,0.0,0.0
1743798318761,0.0,0.0,0.0
1743798318870,0.0,0.0,0.0
1743798318966,0.0,0.0,0.0
1743798319081,0.0,0.0,0.0
1743798319176,0.0,0.0,0.0
1743798319286,0.0,0.0,0.0
1743798319389,0.0,0.0,0.0
1743798319510,0.0,0.0,0.0
1743798319597,0.81,0.0,0.0
1743798319711,0.0,0.0,0.0
1743798319820,0.0,0.0,0.0
1743798319931,0.0,0.0,0.0
1743798320035,0.0,0.0,0.0
1743798320136,0.0,0.0,0.0
1743798320263,0.0,0.0,0.0
1743798320374,0.0,0.0,0.0
1743798320516,0.0,0.0,0.0
1743798320627,0.0,0.0,0.0
1743798320723,0.0,0.0,0.0
1743798320835,0.0,0.0,0.0
1743798320948,0.0,0.0,0.0
1743798321050,0.0,0.0,0.0
1743798321154,0.0,0.0,0.0
1743798321255,0.4,0.0,0.0
1743798321365,0.0,0.0,0.0
1743798321475,0.0,0.0,0.0
1743798321563,0.0,0.0,0.0
1743798321680,0.0,0.0,0.0
1743798321790,0.0,0.0,0.0
1743798321900,0.0,0.0,0.0
1743798321995,0.0,0.0,0.0
1743798322115,0.0,0.0,0.0
1743798322226,0.0,0.0,0.0
1743798322327,0.0,0.0,0.0
1743798322428,0.0,0.0,0.0
1743798322530,0.4,0.0,0.0
1743798322630,0.0,0.0,0.0
1743798322746,0.0,0.0,0.0
1743798322856,0.0,0.0,0.0
1743798322975,0.0,0.0,0.0
1743798323077,0.0,0.0,0.0
1743798323173,0.0,0.0,0.0
1743798323292,0.0,0.0,0.0
1743798323404,0.0,0.0,0.0
1743798323507,0.0,0.0,0.0
1743798323609,0.0,0.0,0.0
1743798323712,0.0,0.0,0.0
1743798323816,0.0,0.0,0.0
1743798323924,0.0,0.0,0.0
1743798324033,0.0,0.0,0.0
1743798324128,0.0,0.0,0.0
1743798324228,0.0,0.0,0.0
1743798324344,0.0,0.0,0.0
1743798324444,0.0,0.0,0.0
1743798324562,0.0,0.0,0.0
1743798324655,0.0,0.0,0.0
1743798324782,0.0,0.0,0.0
1743798324878,0.0,0.0,0.0
1743798324989,0.0,0.0,0.0
1743798325093,0.0,0.0,0.0
1743798325197,0.0,0.0,0.0
1743798325308,0.0,0.0,0.0
1743798325419,0.0,0.0,0.0
1743798325531,0.0,0.0,0.0
1743798325631,0.0,0.0,0.0
1743798325726,0.0,0.0,0.0
1743798325836,0.0,0.0,0.0
1743798325923,0.0,0.0,0.0
1743798326037,0.4,0.0,0.0
1743798326149,0.0,0.0,0.0
1743798326261,0.0,0.0,0.0
1743798326356,0.0,0.0,0.0
1743798326471,0.0,0.0,0.0
1743798326584,0.0,0.0,0.0
1743798326752,0.0,0.0,0.0
1743798326861,0.0,0.0,0.0
1743798327000,0.0,0.0,0.0
1743798327110,0.0,0.0,0.0
1743798327220,0.0,0.0,0.0
1743798327329,0.0,0.0,0.0
1743798327440,0.0,0.0,0.0
1743798327545,0.0,0.0,0.0
1743798327640,0.0,0.0,0.0
1743798327755,0.0,0.0,0.0
1743798327848,0.0,0.0,0.0
1743798327971,0.0,0.0,0.0
1743798328065,0.0,0.0,0.0
1743798328175,0.0,0.0,0.0
1743798328276,0.0,0.0,0.0
1743798328389,0.0,0.0,0.0
1743798328479,0.0,0.0,0.0
