time,voltage,speed,distance_traveled
1730509936931,0.0,0.16,5.24
1730509938100,0.0,3.06,10.47
1730509939418,0.0,2.71,15.71
1730509940967,0.0,2.31,20.94
1730509942898,0.0,1.85,26.18
1730509945753,0.0,1.25,31.42
1730509957024,0.0,0.32,36.65
1730509957493,0.0,7.64,41.89
1730509957974,0.0,7.42,47.12
1730509958469,0.0,7.23,52.36
1730509958979,0.0,7.03,57.6
1730509959505,0.0,6.81,62.83
1730509960041,0.0,6.6,68.07
1730509960602,0.0,6.39,73.3
1730509961184,0.0,6.16,78.54
1730509961782,0.0,5.94,83.78
1730509962405,0.0,5.72,89.01
1730509963054,0.0,5.48,94.25
1730509963732,0.0,5.23,99.48
1730509964441,0.0,5.0,104.72
1730509965192,0.0,4.73,109.96
1730509965984,0.0,4.48,115.19
1730509966827,0.0,4.21,120.43
1730509967732,0.0,3.93,125.66
1730509968713,0.0,3.63,130.9
1730509969789,0.0,3.31,136.14
1730509970990,0.0,2.97,141.37
1730509972366,0.0,2.59,146.61
1730509974015,0.0,2.17,151.84
1730509976138,0.0,1.68,157.08
1730509979767,0.0,0.98,162.32
1730510066652,0.0,0.04,167.55
