time,voltage,speed,distance_traveled
1730510746887,0.0,0.0,0.0
1730510746988,0.0,0.0,0.0
1730510747092,0.0,0.0,0.0
1730510747193,0.0,0.0,0.0
1730510747292,0.0,0.0,0.0
1730510747393,0.0,0.0,0.0
1730510747495,0.0,0.0,0.0
1730510747605,0.0,0.0,0.0
1730510747698,0.0,0.0,0.0
1730510747799,0.0,0.0,0.0
1730510747901,0.0,0.0,0.0
1730510748002,0.0,0.0,0.0
1730510748103,0.0,0.0,0.0
1730510748204,0.0,0.0,0.0
1730510748306,0.0,0.0,0.0
1730510748407,0.0,0.0,0.0
1730510748508,0.0,0.0,0.0
1730510748611,0.0,0.0,0.0
1730510748712,0.0,0.0,0.0
1730510748814,0.0,0.0,0.0
1730510748914,0.0,0.0,0.0
1730510749015,0.0,0.0,0.0
1730510749120,0.0,0.0,0.0
1730510749218,0.0,0.0,0.0
1730510749319,0.0,0.0,0.0
1730510749421,0.0,0.0,0.0
1730510749522,0.0,0.0,0.0
1730510749623,0.0,0.0,0.0
1730510749724,0.0,0.0,0.0
1730510749826,0.0,0.0,0.0
1730510749927,0.0,0.0,0.0
1730510750028,0.0,0.0,0.0
1730510750130,0.0,0.0,0.0
1730510750232,0.0,0.0,0.0
1730510750334,0.0,0.0,0.0
1730510750434,0.0,0.0,0.0
1730510750536,0.0,0.0,0.0
1730510750643,0.0,0.0,0.0
1730510750741,0.0,0.0,0.0
1730510750840,0.0,0.0,0.0
1730510750941,0.0,0.0,0.0
1730510751041,0.0,0.0,0.0
1730510751146,0.0,0.0,0.0
1730510751244,0.0,0.0,0.0
1730510751345,0.0,0.0,0.0
1730510751447,0.0,0.0,0.0
1730510751548,0.0,0.0,0.0
1730510751650,0.0,0.0,0.0
1730510751751,0.0,0.0,0.0
1730510751855,0.0,0.0,0.0
1730510751955,0.0,0.0,0.0
1730510752057,0.0,0.0,0.0
1730510752169,0.0,0.0,0.0
1730510752260,0.0,0.0,0.0
1730510752361,0.0,0.0,0.0
1730510752460,0.0,0.0,0.0
1730510752562,0.0,0.0,0.0
1730510752663,0.0,0.0,0.0
1730510752764,0.0,0.0,0.0
1730510752866,0.0,0.0,0.0
1730510752967,0.0,0.0,0.0
1730510753070,0.0,0.0,0.0
1730510753170,0.0,0.0,0.0
1730510753280,0.0,0.0,0.0
1730510753376,0.0,0.0,0.0
1730510753475,0.0,0.0,0.0
1730510753577,0.0,0.0,0.0
1730510753678,0.0,0.0,0.0
1730510753781,0.0,0.0,0.0
1730510753881,0.0,0.0,0.0
1730510753983,0.0,0.0,0.0
1730510754084,0.0,0.0,0.0
1730510754185,0.0,0.0,0.0
1730510754288,0.0,0.0,0.0
1730510754388,0.0,0.0,0.0
1730510754492,0.0,0.0,0.0
1730510754590,0.0,0.0,0.0
1730510754692,0.0,0.0,0.0
1730510754794,0.0,0.0,0.0
1730510754897,0.0,0.0,0.0
1730510754996,0.0,0.0,0.0
1730510755097,0.0,0.0,0.0
1730510755202,0.0,0.0,0.0
1730510755299,0.0,0.0,0.0
1730510755401,0.0,0.0,0.0
1730510755503,0.0,0.0,0.0
1730510755603,0.0,0.0,0.0
1730510755705,0.0,0.0,0.0
