time,voltage,speed,distance_traveled
1743470054225,0.0,0.0,0.0
1743470054312,0.0,0.0,0.0
1743470054397,0.4,0.0,0.0
1743470054483,0.0,0.0,0.0
1743470054569,0.0,0.0,0.0
1743470054655,0.0,0.0,0.0
1743470054741,0.4,0.0,0.0
1743470054827,0.0,0.0,0.0
1743470054913,0.4,0.0,0.0
1743470055000,0.0,0.0,0.0
1743470055085,1.62,0.0,0.0
1743470055171,0.0,0.0,0.0
1743470055258,0.0,0.0,0.0
1743470055343,0.0,0.0,0.0
1743470055429,0.0,0.0,0.0
1743470055515,0.0,0.0,0.0
1743470055601,0.0,0.0,0.0
1743470055687,0.0,0.0,0.0
1743470055773,0.0,0.0,0.0
1743470055859,0.0,0.0,0.0
1743470055945,2.43,0.0,0.0
1743470056031,0.4,0.0,0.0
1743470056118,1.21,0.0,0.0
1743470056203,0.0,0.0,0.0
1743470056289,0.0,0.0,0.0
1743470056374,0.0,0.0,0.0
1743470056460,0.0,0.0,0.0
1743470056546,0.0,0.0,0.0
1743470056632,0.0,0.0,0.0
1743470056719,2.02,0.0,0.0
1743470056805,1.21,0.0,0.0
1743470056891,0.81,0.0,0.0
1743470056976,0.0,0.0,0.0
1743470057062,0.0,0.0,0.0
1743470057149,1.21,0.0,0.0
1743470057234,0.0,0.0,0.0
1743470057320,0.0,0.0,0.0
1743470057406,0.0,0.0,0.0
1743470057492,0.0,0.0,0.0
1743470057578,0.0,0.0,0.0
1743470057664,0.0,0.0,0.0
1743470057750,0.0,0.0,0.0
1743470057836,0.0,0.0,0.0
1743470057922,0.0,0.0,0.0
1743470058008,0.0,0.0,0.0
1743470058094,0.0,0.0,0.0
1743470058180,0.0,0.0,0.0
1743470058266,0.0,0.0,0.0
1743470058352,0.0,0.0,0.0
1743470058437,0.0,0.0,0.0
1743470058523,0.0,0.0,0.0
1743470059104,0.0,0.0,0.0
1743470059191,0.0,0.0,0.0
1743470059276,0.0,0.0,0.0
1743470059362,0.0,0.0,0.0
1743470059448,0.0,0.0,0.0
1743470059534,0.0,0.0,0.0
1743470059620,0.0,0.0,0.0
1743470059706,0.0,0.0,0.0
1743470059792,0.0,0.0,0.0
1743470059878,0.0,0.0,0.0
1743470059965,0.0,0.0,0.0
1743470060050,0.0,0.0,0.0
1743470060136,0.0,0.0,0.0
1743470060222,0.0,0.0,0.0
1743470060309,0.0,0.0,0.0
1743470060394,0.4,0.0,0.0
1743470060480,0.0,0.0,0.0
1743470060566,0.0,0.0,0.0
1743470060652,0.0,0.0,0.0
1743470060738,0.0,0.0,0.0
1743470060825,0.0,0.0,0.0
1743470062554,0.0,0.0,0.0
1743470062631,0.0,0.0,0.0
