time,voltage,speed,distance_traveled
1730552456552,0.0,0.33,10.47
1730552459864,0.0,1.07,15.71
1730552461621,0.0,2.06,20.94
1730552463283,0.0,2.16,26.18
1730552464231,0.0,3.68,31.42
1730552464885,0.0,5.36,36.65
1730552465393,0.0,7.64,41.89
1730552465761,0.0,9.15,47.12
1730552466094,0.0,10.59,52.36
1730552466404,0.0,12.23,57.6
1730552466651,0.0,13.95,62.83
1730552466902,0.0,14.69,68.07
1730552467103,0.0,15.13,73.3
1730552467605,0.0,14.75,83.78
1730552467859,0.0,13.22,89.01
1730552468218,0.0,11.48,94.25
1730552468562,0.0,9.44,99.48
1730552469062,0.0,6.89,104.72
