time,voltage,speed5,distance_traveled,,,,speed10,speed7
1.72874E+12,0,6.55,45.666515787300014,,,,6.29,
,,,,,,,,5.43
1.72874E+12,0,6.55,46.61757794880001,,,,6.29,
,,,,,,,,5.43
1.72874E+12,0,6.61,47.49009993180001,,,,6.21,
,,,,,,,,5.4
1.72874E+12,0,6.64,48.541878322200006,,,,6.21,
,,,,,,,,5.4
1.72874E+12,0,6.64,49.428099,,,,6.16,
,,,,,,,,5.36
1.72874E+12,0,6.65,50.51072146,,,,6.16,
,,,,,,,,5.36
1.72874E+12,0,6.65,51.45679695,,,,6.16,
,,,,,,,,5.36
1.72874E+12,0,6.58,52.296406855200004,,,,6.16,
,,,,,,,,5.28
1.72874E+12,0,6.58,53.26147571520001,,,,6.09,
,,,,,,,,5.28
1.72874E+12,0,6.54,54.374150244000006,,,,6.09,
,,,,,,,,5.25
1.72874E+12,0,6.54,55.18947209700001,,,,6.02,
,,,,,,,,5.25
1.72874E+12,0,6.53,56.156784962100005,,,,6.02,
,,,,,,,,5.22
1.72874E+12,0,6.53,57.095365761900005,,,,6.04,
,,,,,,,,5.22
1.72874E+12,0,6.46,58.194429593100004,,,,6.04,
,,,,,,,,5.15
1.72874E+12,0,6.41,59.12516371,,,,5.95,
,,,,,,,,5.15
1.72874E+12,0,6.41,60.046496469000004,,,,5.95,
,,,,,,,,5.15
1.72874E+12,0.81,6.41,60.97723058,,,,5.9,
,,,,,,,,5.12
1.72874E+12,0,6.41,61.95497147,,,,5.9,
,,,,,,,,5.12
1.72874E+12,0,6.34,63.02432057,,,,5.9,
,,,,,,,,5.08
1.72874E+12,0,6.34,63.95418935,,,,5.9,
,,,,,,,,5.08
1.72874E+12,0,6.27,64.88298746,,,,5.83,
,,,,,,,,5.08
1.72874E+12,0,6.27,65.70143332,,,,5.83,
,,,,,,,,5
1.72874E+12,0,6.28,66.59487002,,,,5.77,
,,,,,,,,5
1.72874E+12,0,6.28,67.6448884,,,,5.77,
,,,,,,,,4.97
1.72874E+12,0,6.2,68.46329026469999,,,,5.78,
,,,,,,,,4.97
1.72874E+12,0,6.2,69.46355920469999,,,,5.78,
,,,,,,,,4.94
1.72874E+12,0,6.16,70.48447886,,,,5.7,
,,,,,,,,4.94
1.72874E+12,0,6.16,71.41505164,,,,5.7,
,,,,,,,,4.94
1.72874E+12,0,6.15,72.27195358739999,,,,5.64,
,,,,,,,,4.86
1.72874E+12,0,6.15,73.21905574,,,,5.64,
,,,,,,,,4.86
1.72874E+12,0,6.09,73.96041342,,,,5.64,
,,,,,,,,4.83
1.72874E+12,0,6.09,74.84468343449998,,,,5.64,
,,,,,,,,4.83
1.72874E+12,0,6.03,75.72024142439999,,,,5.64,
,,,,,,,,4.83
1.72874E+12,0,6.03,76.68423961529999,,,,5.56,
,,,,,,,,4.79
1.72874E+12,0,6.02,77.62015108,,,,5.56,
,,,,,,,,4.79
1.72874E+12,0,6.02,78.38830482149999,,,,5.5,
,,,,,,,,4.71
1.72874E+12,0,5.95,79.27842684449999,,,,5.5,
,,,,,,,,4.71
1.72874E+12,0,5.95,80.14236880799999,,,,5.51,
,,,,,,,,4.71
1.72874E+12,0,5.91,81.03517483709999,,,,5.51,
,,,,,,,,4.68
1.72874E+12,0,5.91,82.16201739809999,,,,5.43,
,,,,,,,,4.68
1.72874E+12,0,5.91,82.92480313169999,,,,5.43,
,,,,,,,,4.64
1.72874E+12,0,5.91,83.73959698,,,,5.37,
,,,,,,,,4.64
1.72874E+12,0,5.82,84.59319892,,,,5.37,
,,,,,,,,4.64
1.72874E+12,0,5.82,85.32729659190001,,,,5.37,
,,,,,,,,4.56
1.72874E+12,0,5.76,86.41709106870002,,,,5.36,
,,,,,,,,4.56
1.72874E+12,0,5.76,87.23654893110002,,,,5.36,
,,,,,,,,4.56
1.72874E+12,0,5.78,87.97407860730002,,,,5.28,
,,,,,,,,4.53
1.72874E+12,0,5.78,88.85572327770001,,,,5.28,
,,,,,,,,4.53
1.72874E+12,0,5.71,89.81043744750001,,,,5.22,
,,,,,,,,4.48
1.72874E+12,0,5.71,90.67303007,,,,5.22,
,,,,,,,,4.48
1.72874E+12,0,5.65,91.36082497,,,,5.22,
,,,,,,,,4.48
1.72874E+12,0,5.65,92.18120684,,,,5.22,
,,,,,,,,4.41
1.72874E+12,0,5.65,93.02644875659999,,,,5.22,
,,,,,,,,4.41
1.72874E+12,0,5.65,93.91312410509998,,,,5.15,
,,,,,,,,4.41
1.72874E+12,0,5.57,94.89344633309997,,,,5.15,
,,,,,,,,4.37
1.72874E+12,0,5.57,95.58784124459997,,,,5.09,
,,,,,,,,4.37
1.72874E+12,0,5.51,96.40405776629997,,,,5.09,
,,,,,,,,4.37
1.72874E+12,0,5.51,97.17178617779997,,,,5.09,
,,,,,,,,4.33
1.72874E+12,0,5.5,97.88972114279997,,,,5.08,
,,,,,,,,4.33
1.72874E+12,0,5.5,98.95452356279996,,,,5.08,
,,,,,,,,4.25
1.72874E+12,0,5.5,99.64019178779996,,,,5,
,,,,,,,,4.25
1.72874E+12,0,5.44,100.41412421339996,,,,5,
,,,,,,,,4.25
1.72874E+12,0,5.44,101.32369428059995,,,,4.94,
,,,,,,,,4.22
1.72874E+12,0,5.39,102.09051335669996,,,,4.94,
,,,,,,,,4.22
1.72874E+12,0,5.39,102.91266989189997,,,,4.94,
,,,,,,,,4.22
1.72874E+12,0,5.38,103.67806629809996,,,,4.93,
,,,,,,,,4.17
1.72874E+12,0,5.38,104.50658818109997,,,,4.93,
,,,,,,,,4.17
1.72874E+12,0,5.29,105.25918055819997,,,,4.86,
,,,,,,,,4.17
1.72874E+12,0,5.29,106.08160109399998,,,,4.86,
,,,,,,,,4.1
1.72874E+12,0,5.29,106.81867610249998,,,,4.86,
,,,,,,,,4.1
1.72874E+12,0,5.24,107.73323284769998,,,,4.79,
,,,,,,,,4.1
1.72874E+12,0,5.24,108.46334117369999,,,,4.79,
,,,,,,,,4.07
1.72874E+12,0,5.25,109.25644297619998,,,,4.79,
,,,,,,,,4.07
1.72874E+12,0,5.25,110.04184476119997,,,,4.79,
,,,,,,,,4.07
1.72874E+12,0,5.18,110.77119041879996,,,,4.79,
,,,,,,,,4.02
1.72874E+12,0,5.18,111.51573077759996,,,,4.71,
,,,,,,,,4.02
1.72874E+12,0,5.12,112.29670321919997,,,,4.71,
,,,,,,,,4.02
1.72874E+12,0,5.12,113.05514760959997,,,,4.71,
,,,,,,,,3.94
1.72874E+12,0,5.12,113.80608264959997,,,,4.65,
,,,,,,,,3.94
1.72874E+12,0,5.1,114.57652440059996,,,,4.65,
,,,,,,,,3.94
1.72874E+12,0,5.1,115.30208604959996,,,,4.64,
,,,,,,,,3.9
1.72874E+12,0,5.04,115.92301546079997,,,,4.64,
,,,,,,,,3.9
1.72874E+12,0,5.04,116.69178520799997,,,,4.64,
,,,,,,,,3.9
1.72874E+12,0,4.98,117.50983506719997,,,,4.57,
,,,,,,,,3.85
1.72874E+12,0,4.98,118.21832467739998,,,,4.57,
,,,,,,,,3.85
1.72874E+12,0,4.98,118.92681428759997,,,,4.51,
,,,,,,,,3.85
1.72874E+12,0,4.98,119.70104004719997,,,,4.51,
,,,,,,,,3.78
1.72874E+12,0,4.98,120.40222564079997,,,,4.51,
,,,,,,,,3.78
1.72874E+12,0,4.91,121.20877680719997,,,,4.5,
,,,,,,,,3.78
1.72874E+12,0,4.91,121.87130097959997,,,,4.5,
,,,,,,,,3.78
1.72874E+12,0.4,4.91,122.46901300469996,,,,4.5,
,,,,,,,,3.74
1.72874E+12,0,4.85,123.29416154669995,,,,4.42,
,,,,,,,,3.74
1.72874E+12,0,4.85,123.90590960369995,,,,4.42,
,,,,,,,,3.74
1.72874E+12,0,4.85,124.56745110719996,,,,4.42,
,,,,,,,,3.69
1.72874E+12,0,4.84,125.19213519359997,,,,4.37,
,,,,,,,,3.69
1.72874E+12,0,4.84,125.87360874239997,,,,4.37,
,,,,,,,,3.69
1.72874E+12,0,4.77,126.48226212569996,,,,4.35,
,,,,,,,,3.62
1.72874E+12,0,4.77,127.27281192239997,,,,4.35,
,,,,,,,,3.62
1.72874E+12,0,4.77,127.86747327389996,,,,4.35,
,,,,,,,,3.62
1.72874E+12,0,4.72,128.66358174989998,,,,4.28,
,,,,,,,,3.62
1.72874E+12,0,4.72,129.37661803709997,,,,4.28,
,,,,,,,,3.57
1.72874E+12,0,4.71,129.9776154,,,,4.28,
,,,,,,,,3.57
1.72874E+12,0,4.71,130.74440514569997,,,,4.22,
,,,,,,,,3.57
1.72874E+12,0,4.71,131.49047084129998,,,,4.22,
,,,,,,,,3.52
1.72874E+12,0,4.64,132.1301736,,,,4.22,
,,,,,,,,3.52
1.72874E+12,0,4.64,132.899178,,,,4.2,
,,,,,,,,3.52
1.72874E+12,0,4.59,133.4983274,,,,4.2,
,,,,,,,,3.52
1.72874E+12,0,4.59,134.15133288869998,,,,4.2,
,,,,,,,,3.44
1.72874E+12,0,4.59,134.8447305,,,,4.13,
,,,,,,,,3.44
1.72874E+12,0,4.58,135.4761612,,,,4.13,
,,,,,,,,3.44
1.72874E+12,0,4.58,136.2889604,,,,4.13,
,,,,,,,,3.39
1.72874E+12,0,4.58,136.9472606,,,,4.07,
,,,,,,,,3.39
1.72874E+12,0,4.51,137.5888847,,,,4.07,
,,,,,,,,3.39
1.72874E+12,0.4,4.51,138.2768116,,,,4.07,
,,,,,,,,3.39
1.72874E+12,0,4.45,138.88379297760002,,,,4.05,
,,,,,,,,3.34
1.72874E+12,0,4.45,139.54298780910003,,,,4.05,
,,,,,,,,3.34
1.72874E+12,0,4.45,140.23481604810004,,,,4.05,
,,,,,,,,3.34
1.72874E+12,0,4.44,140.86648148370006,,,,3.97,
,,,,,,,,3.26
1.72874E+12,0,4.44,141.54373102290003,,,,3.97,
,,,,,,,,3.26
1.72874E+12,0,4.44,142.18842048810004,,,,3.97,
,,,,,,,,3.26
1.72874E+12,0,4.37,142.81012723440003,,,,3.91,
,,,,,,,,3.26
1.72874E+12,0,4.37,143.5728396,,,,3.91,
,,,,,,,,3.21
1.72874E+12,0,4.31,144.10383284130003,,,,3.91,
,,,,,,,,3.21
1.72874E+12,0,4.31,144.70436087280004,,,,3.89,
,,,,,,,,3.21
1.72874E+12,0,4.31,145.36810238130002,,,,3.89,
,,,,,,,,3.21
1.72874E+12,0,4.3,145.99877048130003,,,,3.89,
,,,,,,,,3.16
1.72874E+12,0,4.3,146.69881207230003,,,,3.82,
,,,,,,,,3.16
1.72874E+12,0,4.3,147.27902672430002,,,,3.82,
,,,,,,,,3.16
1.72874E+12,0,4.23,147.85600003560003,,,,3.82,
,,,,,,,,3.16
1.72874E+12,0,4.23,148.49501348790002,,,,3.75,
,,,,,,,,3.08
1.72874E+12,0,4.23,149.2022711,,,,3.75,
,,,,,,,,3.08
1.72874E+12,0,4.17,149.8199885,,,,3.75,
,,,,,,,,3.08
1.72874E+12,0,4.17,150.41935786140002,,,,3.75,
,,,,,,,,3.08
1.72874E+12,0,4.17,151.04319127920002,,,,3.73,
,,,,,,,,3.03
1.72874E+12,0,4.15,151.73098617570002,,,,3.73,
,,,,,,,,3.03
1.72874E+12,0.4,4.15,152.38226098920003,,,,3.73,
,,,,,,,,3.03
1.72874E+12,0,4.15,152.97875567820003,,,,3.65,
,,,,,,,,3.03
1.72874E+12,0,4.08,153.48141282060004,,,,3.65,
,,,,,,,,2.96
1.72874E+12,0,4.08,154.17555839820005,,,,3.65,
,,,,,,,,2.96
1.72874E+12,0,4.08,154.67821554060006,,,,3.58,
,,,,,,,,2.96
1.72874E+12,0,4.03,155.1747126690001,,,,3.58,
,,,,,,,,2.96
1.72874E+12,0,4.03,155.85444088050008,,,,3.58,
,,,,,,,,2.88
1.72874E+12,0,4.03,156.51643705170005,,,,3.58,
,,,,,,,,2.88
1.72874E+12,0,4.01,157.03399556130006,,,,3.55,
,,,,,,,,2.88
1.72874E+12,0,4.01,157.62213023130005,,,,3.55,
,,,,,,,,2.88
1.72874E+12,0,4.01,158.22790894140005,,,,3.55,
,,,,,,,,2.88
1.72874E+12,0,3.93,158.87924242170004,,,,3.48,
,,,,,,,,2.82
1.72874E+12,0,3.93,159.43835169240003,,,,3.48,
,,,,,,,,2.82
1.72874E+12,0,3.93,160.03780905480002,,,,3.48,
,,,,,,,,2.82
1.72874E+12,0,3.87,160.52027015130002,,,,3.48,
,,,,,,,,2.82
1.72874E+12,0,3.87,161.14463157030002,,,,3.41,
,,,,,,,,2.76
1.72874E+12,0,3.87,161.73493691190004,,,,3.41,
,,,,,,,,2.76
1.72874E+12,0,3.86,162.37466903250004,,,,3.41,
,,,,,,,,2.76
1.72874E+12,0,3.86,162.88419019050005,,,,3.41,
,,,,,,,,2.76
1.72874E+12,0,3.86,163.52392231110005,,,,3.39,
,,,,,,,,2.76
1.72874E+12,0,3.79,164.08534892040007,,,,3.39,
,,,,,,,,2.67
1.72874E+12,0,3.79,164.64121685040007,,,,3.39,
,,,,,,,,2.67
1.72874E+12,0,3.79,165.1748500632001,,,,3.3,
,,,,,,,,2.67
1.72874E+12,0,3.72,165.64952314200008,,,,3.3,
,,,,,,,,2.67
1.72874E+12,0,3.72,166.2660525432001,,,,3.3,
,,,,,,,,
1.72874E+12,0,3.72,166.75163764680008,,,,3.3,
,,,,,,,,
1.72874E+12,0,3.7,167.35942569480008,,,,3.24,
,,,,,,,,
1.72874E+12,0,3.7,167.9129469528001,,,,3.24,
,,,,,,,,
1.72874E+12,0,3.7,168.4556148528001,,,,3.24,
,,,,,,,,
1.72874E+12,0,3.7,168.9982827528001,,,,3.2,
,,,,,,,,
1.72874E+12,0,3.63,169.5306839628001,,,,3.2,
,,,,,,,,
1.72874E+12,0.4,3.63,169.97790097920011,,,,3.2,
,,,,,,,,
1.72874E+12,0,3.63,170.59548638280012,,,,3.2,
,,,,,,,,
1.72874E+12,0,3.58,171.03129270660014,,,,3.12,
,,,,,,,,
1.72874E+12,0,3.58,171.63512074560012,,,,3.12,
,,,,,,,,
1.72874E+12,0,3.58,172.22319674880012,,,,3.12,
,,,,,,,,
