time,voltage,speed,distance_traveled
1740708601271,0.0,0.0,0.0
1740708601372,0.0,0.0,0.0
1740708601474,0.0,0.0,0.0
1740708601574,0.0,0.0,0.0
1740708601676,0.81,0.0,0.0
1740708601779,0.0,0.0,0.0
1740708601878,0.0,0.0,0.0
1740708601979,0.0,0.0,0.0
1740708602080,0.0,0.0,0.0
1740708602182,1.21,0.0,0.0
1740708602284,0.0,0.0,0.0
1740708602384,0.4,0.0,0.0
1740708602485,0.0,0.0,0.0
1740708602586,0.0,0.0,0.0
1740708602687,0.81,0.0,0.0
1740708602788,0.0,0.0,0.0
1740708602892,2.83,0.0,0.0
1740708602991,0.4,0.0,0.0
1740708603093,0.0,0.0,0.0
1740708603193,0.0,0.0,0.0
1740708603294,0.0,0.0,0.0
1740708603397,0.81,0.0,0.0
1740708603497,0.0,0.0,0.0
1740708603600,0.0,0.0,0.0
1740708603699,0.4,0.0,0.0
1740708603800,0.81,0.0,0.0
1740708603901,0.0,0.0,0.0
1740708604002,0.0,0.0,0.0
1740708604104,0.0,0.0,0.0
1740708604205,0.0,0.0,0.0
1740708604306,0.0,0.0,0.0
1740708604409,0.81,0.0,0.0
1740708604508,0.0,0.0,0.0
1740708604610,0.0,0.0,0.0
1740708604710,0.0,0.0,0.0
1740708604812,0.0,0.0,0.0
1740708604913,0.0,0.0,0.0
1740708605014,0.0,0.0,0.0
1740708605115,0.0,0.0,0.0
1740708605216,0.0,0.0,0.0
1740708605317,0.0,0.0,0.0
1740708605418,1.21,0.0,0.0
1740708605519,0.0,0.0,0.0
1740708605620,0.0,0.0,0.0
1740708605722,0.4,0.0,0.0
1740708605823,0.0,0.0,0.0
1740708605924,0.0,0.0,0.0
1740708606026,0.0,0.0,0.0
1740708606127,0.0,0.0,0.0
1740708606230,0.0,0.0,0.0
1740708606332,2.83,0.0,0.0
1740708606436,0.0,0.0,0.0
1740708606532,0.81,0.0,0.0
1740708606634,0.4,0.0,0.0
1740708606734,0.0,0.0,0.0
1740708606835,0.4,0.0,0.0
1740708606937,0.0,0.0,0.0
1740708607038,0.0,0.0,0.0
1740708607140,2.83,0.0,0.0
1740708607240,0.81,0.0,0.0
1740708607341,0.0,0.0,0.0
1740708607442,0.0,0.0,0.0
1740708607543,0.0,0.0,0.0
1740708607645,0.0,0.0,0.0
1740708607745,0.0,0.0,0.0
1740708607847,0.0,0.0,0.0
1740708607947,0.0,0.0,0.0
1740708608050,0.0,0.0,0.0
1740708608150,0.81,0.0,0.0
1740708608251,0.4,0.0,0.0
1740708608353,0.0,0.0,0.0
1740708608454,0.0,0.0,0.0
1740708608556,1.21,0.0,0.0
1740708608656,0.0,0.0,0.0
1740708608758,0.0,0.0,0.0
1740708608858,0.4,0.0,0.0
1740708608959,0.0,0.0,0.0
1740708609063,0.4,0.0,0.0
1740708609163,0.0,0.0,0.0
1740708609263,0.0,0.0,0.0
1740708609364,0.0,0.0,0.0
1740708609465,0.0,0.0,0.0
1740708609566,0.0,0.0,0.0
1740708609667,0.0,0.0,0.0
1740708609769,0.0,0.0,0.0
1740708609870,0.0,0.0,0.0
1740708609971,1.21,0.0,0.0
1740708610072,0.0,0.0,0.0
1740708610173,0.0,0.0,0.0
1740708610274,0.0,0.0,0.0
1740708610375,0.81,0.0,0.0
1740708610476,0.0,0.0,0.0
1740708610578,0.0,0.0,0.0
1740708610679,0.4,0.0,0.0
1740708610780,0.0,0.0,0.0
1740708610881,0.0,0.0,0.0
1740708610982,0.0,0.0,0.0
1740708611084,0.81,0.0,0.0
1740708611185,0.0,0.0,0.0
1740708611286,0.0,0.0,0.0
1740708611387,2.02,0.0,0.0
1740708611488,0.0,0.0,0.0
1740708611589,0.0,0.0,0.0
1740708611690,0.0,0.0,0.0
1740708611791,0.0,0.0,0.0
1740708611892,0.0,0.0,0.0
1740708611993,0.0,0.0,0.0
1740708612094,0.0,0.0,0.0
1740708612196,0.4,0.0,0.0
1740708612297,0.0,0.0,0.0
1740708612398,0.0,0.0,0.0
1740708612499,0.0,0.0,0.0
1740708612600,0.0,0.0,0.0
1740708612701,0.4,0.0,0.0
1740708612802,0.0,0.0,0.0
1740708612904,0.0,0.0,0.0
1740708613005,0.0,0.0,0.0
1740708613106,0.0,0.0,0.0
1740708613207,0.0,0.0,0.0
1740708613308,0.0,0.0,0.0
1740708613409,0.0,0.0,0.0
1740708613510,0.0,0.0,0.0
1740708613611,0.0,0.0,0.0
1740708613712,0.0,0.0,0.0
1740708613814,1.21,0.0,0.0
1740708613915,0.0,0.0,0.0
1740708614016,0.4,0.0,0.0
1740708614117,0.0,0.0,0.0
1740708614218,0.0,0.0,0.0
1740708614319,0.0,0.0,0.0
1740708614421,0.0,0.0,0.0
1740708614522,0.0,0.0,0.0
1740708614623,0.0,0.0,0.0
1740708614724,0.81,0.0,0.0
1740708614825,0.0,0.0,0.0
1740708614926,0.0,0.0,0.0
1740708615027,0.81,0.0,0.0
1740708615128,0.4,0.0,0.0
1740708615230,0.4,0.0,0.0
1740708615331,0.0,0.0,0.0
1740708615432,0.4,0.0,0.0
1740708615533,0.4,0.0,0.0
1740708615634,0.0,0.0,0.0
1740708615735,0.0,0.0,0.0
1740708615837,0.0,0.0,0.0
1740708615938,0.81,0.0,0.0
1740708616039,0.0,0.0,0.0
1740708616140,0.0,0.0,0.0
1740708616241,0.4,0.0,0.0
1740708616342,0.0,0.0,0.0
1740708616444,2.02,0.0,0.0
1740708616545,0.4,0.0,0.0
1740708616646,0.81,0.0,0.0
1740708616747,0.4,0.0,0.0
1740708616848,0.0,0.0,0.0
1740708616949,0.0,0.0,0.0
1740708617050,0.0,0.0,0.0
1740708617152,0.0,0.0,0.0
1740708617253,0.0,0.0,0.0
1740708617354,0.0,0.0,0.0
1740708617455,0.4,0.0,0.0
1740708617556,0.0,0.0,0.0
1740708617657,0.0,0.0,0.0
1740708617759,0.0,0.0,0.0
1740708617860,0.4,0.0,0.0
1740708617961,0.0,0.0,0.0
1740708618062,0.0,0.0,0.0
1740708618163,0.4,0.0,0.0
1740708618264,0.0,0.0,0.0
1740708618365,0.0,0.0,0.0
1740708618466,0.0,0.0,0.0
1740708618568,0.0,0.0,0.0
1740708618669,0.0,0.0,0.0
1740708618770,0.4,0.0,0.0
1740708618871,0.0,0.0,0.0
1740708618972,0.0,0.0,0.0
1740708619073,0.0,0.0,0.0
1740708619174,0.0,0.0,0.0
1740708619276,0.0,0.0,0.0
1740708619377,0.0,0.0,0.0
1740708619478,0.0,0.0,0.0
1740708619579,0.0,0.0,0.0
1740708619680,0.4,0.0,0.0
1740708619781,0.0,0.0,0.0
1740708619882,0.0,0.0,0.0
1740708619983,0.0,0.0,0.0
1740708620085,0.0,0.0,0.0
1740708620187,0.0,0.0,0.0
1740708620287,0.0,0.0,0.0
1740708620389,0.0,0.0,0.0
1740708620489,0.81,0.0,0.0
1740708620590,2.02,0.0,0.0
1740708620692,0.4,0.0,0.0
1740708620793,0.0,0.0,0.0
1740708620895,0.0,0.0,0.0
1740708620995,0.81,0.0,0.0
1740708621096,0.4,0.0,0.0
1740708621197,0.0,0.0,0.0
1740708621298,0.0,0.0,0.0
1740708621400,0.0,0.0,0.0
1740708621501,0.0,0.0,0.0
1740708621602,0.0,0.0,0.0
1740708621703,0.0,0.0,0.0
1740708621804,0.4,0.0,0.0
1740708621905,1.21,0.0,0.0
1740708622007,0.0,0.0,0.0
1740708622107,0.0,0.0,0.0
1740708622209,0.0,0.0,0.0
1740708622310,0.4,0.0,0.0
1740708622411,0.0,0.0,0.0
1740708622513,0.0,0.0,0.0
1740708622613,0.0,0.0,0.0
1740708622714,0.0,0.0,0.0
1740708622815,0.0,0.0,0.0
1740708622917,0.0,0.0,0.0
1740708623018,0.0,0.0,0.0
1740708623119,0.0,0.0,0.0
1740708623221,0.0,0.0,0.0
1740708623321,0.0,0.0,0.0
1740708623423,0.0,0.0,0.0
1740708623524,0.0,0.0,0.0
1740708623624,0.0,0.0,0.0
1740708623726,0.0,0.0,0.0
1740708623827,0.0,0.0,0.0
1740708623928,0.0,0.0,0.0
1740708624029,0.0,0.0,0.0
1740708624130,0.81,0.0,0.0
1740708624231,0.0,0.0,0.0
1740708624332,0.0,0.0,0.0
1740708624434,0.0,0.0,0.0
1740708624535,0.0,0.0,0.0
1740708624636,0.0,0.0,0.0
1740708624737,0.0,0.0,0.0
1740708624839,0.4,0.0,0.0
1740708624940,0.0,0.0,0.0
1740708625041,0.0,0.0,0.0
1740708625162,0.0,0.0,0.0
1740708625243,0.0,0.0,0.0
1740708625344,0.0,0.0,0.0
1740708625445,0.0,0.0,0.0
1740708625546,0.0,0.0,0.0
1740708625647,0.4,0.0,0.0
1740708625748,0.0,0.0,0.0
1740708625849,0.4,0.0,0.0
1740708625951,0.0,0.0,0.0
1740708626053,0.0,0.0,0.0
1740708626154,0.0,0.0,0.0
1740708626254,1.21,0.0,0.0
1740708626355,0.81,0.0,0.0
1740708626456,0.0,0.0,0.0
1740708626558,0.4,0.0,0.0
1740708626659,0.0,0.0,0.0
1740708626760,0.0,0.0,0.0
1740708626861,0.0,0.0,0.0
1740708626962,0.0,0.0,0.0
1740708627063,0.4,0.0,0.0
1740708627164,0.0,0.0,0.0
1740708627266,0.0,0.0,0.0
1740708627367,0.0,0.0,0.0
1740708627468,0.0,0.0,0.0
1740708627569,0.0,0.0,0.0
