time,voltage,speed,distance_traveled
1740712732806,1.21,0.0,0.0
1740712732907,0.0,0.0,0.0
1740712733008,0.0,0.0,0.0
1740712733109,0.0,0.0,0.0
1740712733210,0.81,0.0,0.0
1740712733311,0.0,0.0,0.0
1740712733414,0.0,0.0,0.0
1740712733513,0.0,0.0,0.0
1740712733614,0.0,0.0,0.0
1740712733715,0.0,0.0,0.0
1740712733817,0.0,0.0,0.0
1740712733919,0.4,0.0,0.0
1740712734019,1.21,0.0,0.0
1740712734120,0.0,0.0,0.0
1740712734221,0.0,0.0,0.0
1740712734322,0.0,0.0,0.0
1740712734425,1.21,0.0,0.0
1740712734525,0.0,0.0,0.0
1740712734729,0.0,0.0,0.0
1740712734835,2.02,0.0,0.0
1740712734931,1.21,0.0,0.0
1740712735031,0.0,0.0,0.0
1740712735132,0.0,0.0,0.0
1740712735233,0.0,0.0,0.0
1740712735335,0.0,0.0,0.0
1740712735436,0.0,0.0,0.0
1740712735537,2.02,0.0,0.0
1740712735638,0.81,0.0,0.0
1740712735739,0.0,0.0,0.0
1740712735840,0.0,0.0,0.0
1740712735941,0.0,0.0,0.0
1740712736043,1.21,0.0,0.0
1740712736144,0.0,0.0,0.0
1740712736245,0.0,0.0,0.0
1740712736346,0.0,0.0,0.0
1740712736447,0.0,0.0,0.0
1740712736548,0.0,0.0,0.0
1740712736650,0.4,0.0,0.0
1740712736751,0.0,0.0,0.0
1740712736852,2.83,0.0,0.0
1740712736953,2.02,0.0,0.0
1740712737054,0.0,0.0,0.0
1740712737155,2.02,0.0,0.0
1740712737257,1.21,0.0,0.0
1740712737358,1.62,0.0,0.0
1740712737459,0.0,0.0,0.0
1740712737560,1.21,0.0,0.0
1740712737661,0.4,0.0,0.0
1740712737762,0.0,0.0,0.0
1740712737863,0.0,0.0,0.0
1740712737965,0.4,0.0,0.0
1740712738066,0.0,0.0,0.0
1740712738167,2.02,0.0,0.0
1740712738268,0.0,0.0,0.0
1740712738369,0.0,0.0,0.0
1740712738470,0.81,0.0,0.0
1740712738573,0.0,0.0,0.0
1740712738674,0.0,0.0,0.0
1740712738779,0.0,0.0,0.0
1740712738876,0.0,0.0,0.0
1740712738977,0.0,0.0,0.0
1740712739077,0.0,0.0,0.0
1740712739178,1.21,0.0,0.0
1740712739280,0.0,0.0,0.0
1740712739381,0.0,0.0,0.0
1740712739482,0.0,0.0,0.0
1740712739584,0.0,0.0,0.0
1740712739684,1.21,0.0,0.0
1740712739785,0.0,0.0,0.0
1740712739886,0.0,0.0,0.0
1740712739987,0.0,0.0,0.0
1740712740089,0.0,0.0,0.0
1740712740190,0.4,0.0,0.0
1740712740291,0.0,0.0,0.0
1740712740393,0.0,0.0,0.0
1740712740495,0.0,0.0,0.0
1740712740595,1.21,0.0,0.0
1740712740697,0.0,0.0,0.0
1740712740798,0.0,0.0,0.0
1740712740899,0.0,0.0,0.0
1740712741000,0.0,0.0,0.0
1740712741100,0.0,0.0,0.0
1740712741201,1.21,0.0,0.0
1740712741302,0.0,0.0,0.0
1740712741405,0.0,0.0,0.0
1740712741505,0.0,0.0,0.0
1740712741606,0.0,0.0,0.0
1740712741707,0.81,0.0,0.0
1740712741808,0.0,0.0,0.0
1740712741909,0.0,0.0,0.0
1740712742010,1.21,0.0,0.0
1740712742111,0.4,0.0,0.0
1740712742213,0.0,0.0,0.0
1740712742315,1.21,0.0,0.0
1740712742416,1.21,0.0,0.0
1740712742517,0.0,0.0,0.0
1740712742618,0.0,0.0,0.0
1740712742719,0.0,0.0,0.0
1740712742820,0.81,0.0,0.0
1740712742921,0.0,0.0,0.0
1740712743022,1.21,0.0,0.0
1740712743123,0.0,0.0,0.0
1740712743224,0.0,0.0,0.0
1740712743326,0.4,0.0,0.0
1740712743427,0.0,0.0,0.0
1740712743528,0.0,0.0,0.0
1740712743630,0.0,0.0,0.0
1740712743730,0.4,0.0,0.0
1740712743831,0.0,0.0,0.0
1740712743932,0.0,0.0,0.0
1740712744033,0.0,0.0,0.0
1740712744134,0.0,0.0,0.0
1740712744236,0.4,0.0,0.0
1740712744337,0.0,0.0,0.0
1740712744438,0.0,0.0,0.0
1740712744540,0.4,0.0,0.0
1740712744641,0.0,0.0,0.0
1740712744742,0.0,0.0,0.0
1740712744843,0.81,0.0,0.0
1740712744944,0.4,0.0,0.0
1740712745045,0.0,0.0,0.0
1740712745146,0.0,0.0,0.0
1740712745247,0.0,0.0,0.0
1740712745348,0.81,0.0,0.0
1740712745449,0.0,0.0,0.0
1740712745551,0.0,0.0,0.0
1740712745652,0.0,0.0,0.0
1740712745753,0.0,0.0,0.0
1740712745854,0.0,0.0,0.0
1740712745955,0.0,0.0,0.0
1740712746056,0.4,0.0,0.0
1740712746157,0.0,0.0,0.0
1740712746258,0.0,0.0,0.0
1740712746360,0.0,0.0,0.0
1740712746461,0.0,0.0,0.0
1740712746562,0.0,0.0,0.0
1740712746664,1.21,0.0,0.0
1740712746764,0.81,0.0,0.0
1740712746865,0.0,0.0,0.0
1740712746967,0.0,0.0,0.0
1740712747068,0.0,0.0,0.0
1740712747169,0.0,0.0,0.0
1740712747270,0.4,0.0,0.0
1740712747371,1.21,0.0,0.0
1740712747472,0.0,0.0,0.0
1740712751591,0.0,0.0,0.0
1740712751669,0.0,0.0,0.0
1740712751744,0.81,0.0,0.0
1740712751821,0.0,0.0,0.0
1740712751896,0.0,0.0,0.0
1740712751973,0.0,0.0,0.0
1740712752074,0.0,0.0,0.0
1740712752175,2.02,0.0,0.0
1740712752276,0.0,0.0,0.0
1740712752352,0.81,0.0,0.0
1740712752428,0.0,0.0,0.0
1740712752529,0.0,0.0,0.0
1740712752630,0.81,0.0,0.0
1740712752706,0.4,0.0,0.0
1740712752782,0.0,0.0,0.0
1740712752883,0.4,0.0,0.0
1740712752959,1.21,0.0,0.0
1740712753035,0.0,0.0,0.0
1740712753136,0.0,0.0,0.0
1740712753237,0.4,0.0,0.0
1740712753453,0.0,0.0,0.0
1740712753540,0.0,0.0,0.0
1740712753616,0.0,0.0,0.0
1740712753692,0.0,0.0,0.0
1740712753768,0.81,0.0,0.0
1740712753844,0.4,0.0,0.0
1740712753945,0.4,0.0,0.0
1740712754021,2.02,0.0,0.0
1740712754097,0.0,0.0,0.0
1740712754198,0.0,0.0,0.0
1740712754299,1.21,0.0,0.0
1740712754400,0.0,0.0,0.0
1740712754501,0.0,0.0,0.0
1740712754577,0.0,0.0,0.0
1740712754653,0.0,0.0,0.0
1740712754756,0.0,0.0,0.0
1740712754915,0.0,0.0,0.0
1740712755007,0.0,0.0,0.0
1740712755108,0.0,0.0,0.0
1740712755184,0.0,0.0,0.0
1740712755375,0.0,0.0,0.0
1740712755462,0.0,0.0,0.0
1740712755538,2.02,0.0,0.0
1740712755614,0.4,0.0,0.0
1740712755715,0.0,0.0,0.0
1740712755816,0.4,0.0,0.0
1740712755892,1.21,0.0,0.0
1740712755968,2.83,0.0,0.0
1740712756069,0.81,0.0,0.0
1740712756170,0.0,0.0,0.0
1740712756246,0.4,0.0,0.0
1740712756322,0.4,0.0,0.0
1740712756423,0.0,0.0,0.0
1740712756499,0.0,0.0,0.0
1740712756575,0.4,0.0,0.0
1740712756676,0.81,0.0,0.0
1740712756777,0.0,0.0,0.0
1740712756853,2.02,0.0,0.0
1740712756929,0.0,0.0,0.0
1740712757030,0.4,0.0,0.0
1740712757224,0.81,0.0,0.0
1740712757300,0.0,0.0,0.0
1740712757384,0.0,0.0,0.0
1740712757460,1.21,0.0,0.0
1742046083426,0.4,0.0,0.0
1742046083527,0.0,0.0,0.0
1742046083628,0.0,0.0,0.0
1742046083729,1.21,0.0,0.0
1742046083805,0.4,0.0,0.0
1742046083881,0.0,0.0,0.0
1742046083982,2.43,0.0,0.0
1742046084058,0.4,0.0,0.0
1742046084134,0.0,0.0,0.0
1742046084235,0.81,0.0,0.0
1742046084311,0.81,0.0,0.0
1742046084387,0.0,0.0,0.0
1742046084488,0.0,0.0,0.0
1742046084589,0.81,0.0,0.0
1742046084665,1.62,0.0,0.0
1742046084741,0.0,0.0,0.0
1742046084961,0.0,0.0,0.0
1742046085044,0.0,0.0,0.0
1742046085120,0.4,0.0,0.0
1742046085196,0.0,0.0,0.0
1742046085297,0.4,0.0,0.0
1742046085373,0.4,0.0,0.0
1742046085449,0.4,0.0,0.0
1742046085550,0.81,0.0,0.0
1742046085626,0.4,0.0,0.0
1742046085702,0.0,0.0,0.0
1742046085803,0.81,0.0,0.0
1742046085879,0.4,0.0,0.0
1742046085955,0.0,0.0,0.0
1742046086056,0.0,0.0,0.0
1742046086157,0.0,0.0,0.0
1742046086258,0.4,0.0,0.0
1742046086334,1.21,0.0,0.0
1742046086410,0.0,0.0,0.0
1742046086511,0.81,0.0,0.0
1742046086612,0.0,0.0,0.0
1742046086804,0.4,0.0,0.0
1742046086880,0.0,0.0,0.0
1742046086966,0.0,0.0,0.0
1742046087042,0.4,0.0,0.0
1742046087119,0.0,0.0,0.0
1742046087219,0.0,0.0,0.0
1742046087320,0.0,0.0,0.0
1742046087396,1.21,0.0,0.0
1742046087473,0.0,0.0,0.0
1742046087573,0.0,0.0,0.0
1742046087674,1.21,0.0,0.0
1742046087750,0.81,0.0,0.0
1742046087827,0.0,0.0,0.0
1742046087927,0.0,0.0,0.0
1742046088029,0.0,0.0,0.0
1742046088130,0.0,0.0,0.0
1742046088206,0.0,0.0,0.0
1742046088282,0.0,0.0,0.0
1742046088382,0.0,0.0,0.0
1742046088484,0.0,0.0,0.0
1742046088688,0.0,0.0,0.0
1742046088787,0.0,0.0,0.0
1742046088888,0.81,0.0,0.0
1742046088964,1.21,0.0,0.0
1742046089040,0.0,0.0,0.0
1742046089141,0.0,0.0,0.0
1742046089242,0.4,0.0,0.0
1742046089318,1.21,0.0,0.0
1742046089394,0.0,0.0,0.0
1742046089495,0.81,0.0,0.0
1742046089596,0.0,0.0,0.0
1742046089672,2.83,0.0,0.0
1742046089748,0.0,0.0,0.0
1742046089849,0.0,0.0,0.0
1742046089925,0.0,0.0,0.0
1742046090001,0.0,0.0,0.0
1742046090102,0.0,0.0,0.0
1742046090203,1.21,0.0,0.0
1742046090279,0.0,0.0,0.0
1742046090355,0.0,0.0,0.0
1742046090543,0.0,0.0,0.0
1742046090620,0.0,0.0,0.0
1742046090709,0.0,0.0,0.0
1742046090810,0.0,0.0,0.0
1742046090911,0.4,0.0,0.0
1742046091012,1.21,0.0,0.0
1742046091088,0.0,0.0,0.0
1742046091164,0.0,0.0,0.0
1742046091265,0.0,0.0,0.0
1742046091366,0.81,0.0,0.0
1742046091442,1.21,0.0,0.0
1742046091518,0.0,0.0,0.0
1742046091619,0.4,0.0,0.0
1742046091695,0.0,0.0,0.0
1742046091771,0.4,0.0,0.0
1742046091872,2.83,0.0,0.0
1742046091948,0.4,0.0,0.0
1742046092024,0.4,0.0,0.0
1742046092125,0.0,0.0,0.0
1742046092226,0.4,0.0,0.0
1742046092469,0.0,0.0,0.0
1742046092545,0.0,0.0,0.0
1742046092631,0.0,0.0,0.0
1742046092707,0.0,0.0,0.0
1742046092783,0.0,0.0,0.0
1742046092884,0.0,0.0,0.0
1742046092960,0.0,0.0,0.0
1742046093036,0.0,0.0,0.0
1742046093137,0.4,0.0,0.0
1742046093213,0.4,0.0,0.0
1742046093289,0.0,0.0,0.0
1742046093389,0.0,0.0,0.0
1742046093465,0.0,0.0,0.0
1742046093541,0.0,0.0,0.0
1742046093642,0.81,0.0,0.0
1742046093744,0.0,0.0,0.0
1742046093845,2.83,0.0,0.0
1742046093946,0.0,0.0,0.0
1742046094022,0.4,0.0,0.0
1742046094098,0.0,0.0,0.0
1742046094318,0.4,0.0,0.0
1742046094401,0.0,0.0,0.0
1742046094502,0.0,0.0,0.0
1742046094604,0.4,0.0,0.0
1742046094705,0.0,0.0,0.0
1742046094780,0.0,0.0,0.0
1742046094856,0.0,0.0,0.0
1742046094958,0.81,0.0,0.0
1742046095033,0.0,0.0,0.0
1742046095109,0.0,0.0,0.0
1742046095210,0.81,0.0,0.0
