time (ms),voltage,speed (mph),distance_traveled,
,,,,
1.73025E+12,0,0,0,t0
,,,,
84,0,0,0,
,,,,
185,0,0,0,
,,,,
282,0,0,0,
,,,,
383,0,0,0,
,,,,
483,0,0.22,0.032266739999999995,
,,,,
1.73025E+12,0,0.67,0.114810928,
,,,,
1.73025E+12,0,1.12,0.275792627,
,,,,
1.73025E+12,0,1.57,0.47382241019999993,
,,,,
1.73025E+12,0,2.02,0.7641644033999999,
,,,,
1.73025E+12,0,2.47,1.1300545682999998,
,,,,
1.73025E+12,0,2.61,1.5741035774999999,
,,,,
1.73025E+12,0,2.54,1.9503630992999998,
,,,,
1.73025E+12,0,2.46,2.3111639192999998,
,,,,
1.73025E+12,0,2.38,2.7125914982999997,
,,,,
1.73025E+12,0,2.3,2.999325483,
,,,,
1.73025E+12,0,2.21,3.3169768718999997,
,,,,
1.73025E+12,0.4,2.18,3.6974604032999996,
,,,,
1.73025E+12,0,2.15,4.050634539,
,,,,
1.73025E+12,0,2.12,4.321147154099999,
,,,,
1.73025E+12,0,2.09,4.627681184099999,
,,,,
1.73025E+12,0,2.06,4.926793863899999,
,,,,
1.73025E+12,0,2.05,5.224454540399999,
,,,,
1.73025E+12,0,2.02,5.523684553799999,
,,,,
1.73025E+12,0,1.95,5.809685203799999,
,,,,
1.73025E+12,0,1.88,6.132293936999999,
,,,,
1.73025E+12,2.83,1.82,6.3992278769999995,
,,,,
1.73025E+12,0,1.75,6.694395215,
,,,,
1.73025E+12,0.4,1.68,6.940795775,
,,,,
1.73025E+12,0,1.65,7.144076236499999,
,,,,
1.73025E+12,0,1.65,7.388496791999999,
,,,,
3131,0,1.64,7.7060015135999995,
,,,,
1.73025E+12,0,1.62,7.943602053599999,
,,,,
1.73025E+12,0,1.61,8.141954504,
,,,,
1.73025E+12,0,1.59,8.372823029,
,,,,
1.73025E+12,0,1.58,8.604556889,
,,,,
1.73025E+12,0,1.56,8.869965492299999,
,,,,
1.73025E+12,0,1.56,9.103342022699998,
,,,,
1.73025E+12,0,1.56,9.293246454299997,
,,,,
1.73025E+12,0,1.42,9.532753665299998,
,,,,
1.73025E+12,0,1.38,9.737178129899998,
,,,,
1.73025E+12,0,1.35,9.935178579899997,
,,,,
1.73025E+12,0,1.32,10.188795156299996,
,,,,
1.73025E+12,0,1.29,10.349615521799995,
,,,,
1.73025E+12,0,1.26,10.504847874599996,
,,,,
1.73025E+12,0,1.37,10.737931070999995,
,,,,
1.73025E+12,0,1.37,10.940874198899996,
,,,,
1.73025E+12,0,1.26,11.153394681899995,
,,,,
1.73025E+12,0,1.03,11.281801640399994,
,,,,
1.73025E+12,0,0.8,11.417908616399995,
,,,,
1.73025E+12,1.21,0.57,11.501508806399995,
,,,,
1.73025E+12,0,0.34,11.550378250799996,
,,,,
1.73025E+12,0,0.19,11.578802315399995,
,,,,
1.73025E+12,0,0.22,11.610746387999995,
,,,,
1.73025E+12,0,0.37,11.665013177999995,
,,,,
1.73025E+12,0,0.52,11.753482712399995,
,,,,
1.73025E+12,0,0.67,11.837009568899996,
,,,,
1.73025E+12,0,0.82,11.956073839499995,
,,,,
1.73025E+12,0,0.9,12.088074139499996,
,,,,
1.73025E+12,0,0.9,12.221394442499998,
,,,,
1.73025E+12,0,0.82,12.360904092899998,
,,,,
1.73025E+12,0,0.67,12.459170982899998,
,,,,
1.73025E+12,0,0.52,12.546877848899998,
,,,,
1.73025E+12,0,0.37,12.592461952499999,
,,,,
1.73025E+12,0,0.22,12.624728692499998,
,,,,
